zipcode,house_perc
10001.0,88.48484848484848
10002.0,95.75757575757575
10003.0,9.696969696969697
10009.0,13.93939393939394
10011.0,24.848484848484848
10013.0,21.818181818181817
10014.0,24.242424242424242
10016.0,41.21212121212121
10017.0,5.454545454545454
10021.0,8.484848484848484
10022.0,53.93939393939394
10023.0,38.78787878787879
10024.0,64.84848484848484
10025.0,39.39393939393939
10026.0,0.6060606060606061
10027.0,71.51515151515152
10028.0,26.666666666666668
10029.0,47.878787878787875
10030.0,18.78787878787879
10031.0,13.333333333333334
10032.0,14.545454545454545
10033.0,34.54545454545455
10034.0,9.090909090909092
10035.0,15.151515151515152
10037.0,93.93939393939394
10038.0,96.36363636363636
10040.0,94.54545454545455
10065.0,50.303030303030305
10075.0,41.81818181818182
10128.0,7.878787878787879
10301.0,20.0
10302.0,6.666666666666667
10303.0,4.242424242424242
10304.0,43.63636363636363
10305.0,2.4242424242424243
10306.0,79.39393939393939
10307.0,52.72727272727273
10308.0,72.12121212121212
10309.0,51.515151515151516
10310.0,33.333333333333336
10312.0,32.72727272727273
10314.0,38.18181818181818
10451.0,3.6363636363636362
10452.0,70.3030303030303
10453.0,33.93939393939394
10454.0,23.03030303030303
10455.0,1.8181818181818181
10456.0,18.181818181818183
10457.0,65.45454545454545
10458.0,92.12121212121212
10459.0,6.0606060606060606
10460.0,57.57575757575758
10461.0,4.848484848484849
10462.0,35.15151515151515
10463.0,40.0
10464.0,43.03030303030303
10465.0,22.424242424242426
10466.0,12.121212121212121
10467.0,87.87878787878788
10468.0,85.45454545454545
10469.0,16.363636363636363
10470.0,12.727272727272727
10471.0,10.303030303030303
10472.0,55.15151515151515
10473.0,7.2727272727272725
10474.0,46.666666666666664
10475.0,63.03030303030303
10803.0,62.42424242424242
11001.0,20.606060606060606
11004.0,61.21212121212121
11040.0,47.27272727272727
11101.0,11.515151515151516
11102.0,21.21212121212121
11103.0,17.575757575757574
11104.0,96.96969696969697
11105.0,98.78787878787878
11106.0,27.87878787878788
11201.0,1.2121212121212122
11203.0,30.303030303030305
11204.0,60.60606060606061
11205.0,91.51515151515152
11206.0,89.6969696969697
11207.0,77.57575757575758
11208.0,26.060606060606062
11209.0,66.66666666666667
11210.0,66.06060606060606
11211.0,30.90909090909091
11212.0,50.90909090909091
11213.0,19.393939393939394
11214.0,63.63636363636363
11215.0,29.696969696969695
11216.0,3.0303030303030303
11217.0,40.60606060606061
11218.0,15.757575757575758
11219.0,84.24242424242425
11220.0,73.33333333333333
11221.0,75.15151515151516
11222.0,72.72727272727273
11223.0,70.9090909090909
11224.0,68.48484848484848
11225.0,58.18181818181818
11226.0,44.84848484848485
11228.0,60.0
11229.0,99.39393939393939
11230.0,87.27272727272727
11231.0,36.96969696969697
11232.0,10.909090909090908
11233.0,25.454545454545453
11234.0,69.6969696969697
11235.0,90.9090909090909
11236.0,93.33333333333333
11237.0,45.45454545454545
11238.0,69.0909090909091
11239.0,78.78787878787878
11249.0,73.93939393939394
11354.0,75.75757575757575
11355.0,36.36363636363637
11356.0,42.42424242424242
11357.0,32.121212121212125
11358.0,100.0
11360.0,27.272727272727273
11361.0,28.484848484848484
11362.0,35.75757575757576
11363.0,59.39393939393939
11364.0,92.72727272727273
11365.0,82.42424242424242
11366.0,67.87878787878788
11367.0,81.21212121212122
11368.0,98.18181818181819
11369.0,80.0
11370.0,84.84848484848484
11372.0,44.24242424242424
11373.0,49.09090909090909
11374.0,61.81818181818182
11375.0,83.63636363636364
11377.0,56.36363636363637
11378.0,16.96969696969697
11379.0,55.75757575757576
11385.0,29.09090909090909
11411.0,97.57575757575758
11412.0,49.696969696969695
11413.0,90.3030303030303
11414.0,46.06060606060606
11415.0,74.54545454545455
11416.0,64.24242424242425
11417.0,52.121212121212125
11418.0,54.54545454545455
11419.0,58.78787878787879
11420.0,95.15151515151516
11421.0,89.0909090909091
11422.0,76.36363636363636
11423.0,53.333333333333336
11426.0,23.636363636363637
11427.0,37.57575757575758
11428.0,31.515151515151516
11429.0,86.66666666666667
11432.0,80.60606060606061
11433.0,76.96969696969697
11434.0,81.81818181818181
11435.0,86.06060606060606
11436.0,78.18181818181819
11691.0,83.03030303030303
11692.0,48.484848484848484
11693.0,56.96969696969697
11694.0,67.27272727272727
