zipcode,age_perc,edu_perc,income_perc
11211.0,91.50943396226415,66.0377358490566,50.9433962264151
11216.0,87.26415094339623,71.22641509433963,42.9245283018868
11237.0,86.7924528301887,43.86792452830189,37.264150943396224
10027.0,75.0,79.24528301886792,34.43396226415094
11105.0,91.0377358490566,78.30188679245283,58.49056603773585
10002.0,70.28301886792453,55.66037735849056,25.0
11238.0,85.37735849056604,82.54716981132076,72.16981132075472
11226.0,63.67924528301887,39.62264150943396,29.24528301886793
10009.0,87.73584905660377,77.83018867924528,39.62264150943396
11201.0,83.01886792452831,84.43396226415095,92.92452830188678
11215.0,80.66037735849056,87.73584905660377,91.50943396226415
11206.0,77.35849056603773,35.37735849056604,23.58490566037736
10032.0,83.9622641509434,50.0,26.88679245283019
10011.0,89.15094339622641,89.62264150943396,89.62264150943396
10075.0,84.43396226415095,93.39622641509432,91.0377358490566
11217.0,88.67924528301887,83.49056603773585,83.49056603773585
10128.0,82.0754716981132,92.92452830188678,90.56603773584904
11103.0,93.86792452830188,73.58490566037736,56.60377358490565
10065.0,73.58490566037736,94.811320754717,96.22641509433964
10031.0,77.83018867924528,54.71698113207548,28.301886792452827
10010.0,93.39622641509432,88.67924528301887,88.67924528301887
11222.0,95.28301886792453,80.66037735849056,70.75471698113208
10040.0,74.52830188679245,60.37735849056603,32.54716981132077
10023.0,66.50943396226414,94.33962264150944,93.86792452830188
11231.0,72.16981132075472,81.60377358490567,87.26415094339623
10026.0,81.60377358490567,70.75471698113208,40.09433962264151
11213.0,63.20754716981133,41.0377358490566,25.94339622641509
10468.0,67.9245283018868,19.81132075471698,20.28301886792453
10003.0,88.2075471698113,91.98113207547168,88.2075471698113
11205.0,75.94339622641509,75.94339622641509,46.698113207547166
10019.0,92.45283018867924,86.32075471698113,86.32075471698113
10467.0,59.433962264150935,23.58490566037736,20.75471698113208
10039.0,66.0377358490566,29.24528301886793,18.867924528301888
11427.0,23.11320754716981,53.77358490566038,65.56603773584905
10022.0,80.18867924528301,96.22641509433964,97.16981132075472
10014.0,94.811320754717,98.58490566037734,93.39622641509432
10012.0,92.92452830188678,90.56603773584904,86.7924528301887
10036.0,94.33962264150944,85.84905660377359,81.13207547169812
11101.0,81.13207547169812,67.45283018867924,59.433962264150935
11434.0,46.698113207547166,27.83018867924528,52.83018867924528
10021.0,70.75471698113208,95.75471698113206,96.69811320754717
11209.0,65.09433962264151,77.35849056603773,60.37735849056603
11208.0,53.301886792452834,16.9811320754717,25.47169811320755
11221.0,78.30188679245283,41.50943396226416,30.188679245283016
10024.0,66.98113207547169,91.0377358490566,95.75471698113206
10025.0,67.45283018867924,83.9622641509434,76.88679245283019
11233.0,55.66037735849056,33.0188679245283,24.52830188679245
10013.0,73.11320754716981,83.01886792452831,94.33962264150944
10029.0,71.22641509433963,58.49056603773585,22.16981132075472
10028.0,86.32075471698113,97.16981132075472,94.811320754717
10004.0,99.05660377358492,99.52830188679243,99.52830188679243
11225.0,75.47169811320755,59.9056603773585,33.0188679245283
11207.0,55.18867924528302,20.28301886792453,24.05660377358491
10001.0,83.49056603773585,85.37735849056604,82.0754716981132
10005.0,98.1132075471698,99.05660377358492,97.64150943396228
10280.0,6.60377358490566,6.367924528301888,6.60377358490566
11373.0,61.79245283018867,38.67924528301887,33.49056603773585
11372.0,56.13207547169812,44.81132075471698,41.0377358490566
10018.0,97.64150943396228,87.26415094339623,89.15094339622641
11435.0,76.41509433962264,44.33962264150944,47.64150943396226
11106.0,90.09433962264151,76.41509433962264,52.35849056603774
11104.0,79.71698113207547,75.47169811320755,55.18867924528302
10030.0,78.77358490566037,49.52830188679246,23.11320754716981
11368.0,69.33962264150944,13.679245283018869,36.320754716981135
10016.0,95.75471698113206,90.09433962264151,87.73584905660377
10017.0,90.56603773584904,96.69811320754717,92.45283018867924
10038.0,85.84905660377359,82.0754716981132,81.60377358490567
10451.0,41.50943396226416,21.698113207547173,16.50943396226415
11220.0,71.69811320754717,25.0,27.358490566037737
10035.0,56.60377358490565,31.603773584905664,17.452830188679247
11374.0,44.33962264150944,75.0,49.52830188679246
10301.0,21.22641509433962,62.26415094339622,44.81132075471698
11235.0,22.16981132075472,73.11320754716981,38.20754716981132
11203.0,32.54716981132077,32.54716981132077,31.13207547169811
10033.0,76.88679245283019,61.32075471698114,35.37735849056604
11377.0,62.73584905660378,47.64150943396226,41.50943396226416
10034.0,68.86792452830188,50.9433962264151,34.90566037735849
10304.0,31.13207547169811,49.0566037735849,43.86792452830189
